	Top1_feature	Top2_feature	Top3_feature	Top4_feature	Top5_feature
lion,The lion is a mammal	words and phrases related to animals	technical terms and keywords related to programming and software development	references to individual songs or personal narratives related to music	elements related to themes of social justice and moral dilemmas	details related to film production and notable figures involved in movies
llama,The llama is a mammal	numerical data and statistics related to incidents or events	elements related to academic citations and affiliations	words and phrases related to animals	references to individual songs or personal narratives related to music	specific references to parts of plants or botanical components
rabbit,The rabbit is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	elements related to themes of social justice and moral dilemmas	technical terms and keywords related to programming and software development	sequences that denote data structures or code elements in programming contexts
mongoose,The mongoose is a mammal	terms related to the performance or description of artistic or cultural expressions	references to specific names and titles in a narrative context	elements related to themes of social justice and moral dilemmas	words and phrases related to animals	terms related to ecological and biological contexts
hamster,The hamster is a mammal	words and phrases related to animals	numerical data and statistics related to incidents or events	elements related to themes of social justice and moral dilemmas	references to individual songs or personal narratives related to music	phrases associated with rodent-borne diseases
whale,The whale is a mammal	numerical data and statistics related to incidents or events	terms related to marine animals, particularly sharks and their interactions	words and phrases related to animals	specific medical terms and concepts related to gastrointestinal health and conditions	references to individual songs or personal narratives related to music
boar,The boar is a mammal	words and phrases related to animals	references to individual songs or personal narratives related to music	specific references to parts of plants or botanical components	patterns related to codes or sequences of characters, indicating statistical attributes or probability distributions	technical terms and keywords related to programming and software development
puma,The puma is a mammal	terms related to the performance or description of artistic or cultural expressions	elements related to academic citations and affiliations	technical terms and keywords related to programming and software development	details related to confirmation and verification processes, especially in digital contexts	references to musical groups or artists
dolphin,The dolphin is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	terms related to marine animals, particularly sharks and their interactions	references to individual songs or personal narratives related to music	terms related to maritime activities and regulations
otter,The otter is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	references to individual songs or personal narratives related to music	specific references to parts of plants or botanical components	technical terms and keywords related to programming and software development
sheep,The sheep is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	terms related to cattle and livestock management	references to geological features or elements in various contexts	technical terms and keywords related to programming and software development
horse,The horse is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	terms related to equine-assisted therapy and its benefits for veterans	specific medical terms and concepts related to gastrointestinal health and conditions	references to geological features or elements in various contexts
donkey,The donkey is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	references to individual songs or personal narratives related to music	elements related to themes of social justice and moral dilemmas	mentions of specific individuals and their contributions or roles
eland,The eland is a mammal	"the mention of the term ""El"" in various contexts"	elements related to academic citations and affiliations	specific references to parts of plants or botanical components	code elements related to programming and database queries	numerical data and statistics related to incidents or events
moose,The moose is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	references to individual songs or personal narratives related to music	specific medical terms and concepts related to gastrointestinal health and conditions	references to geological features or elements in various contexts
mink,The mink is a mammal	specific references to parts of plants or botanical components	technical terms and keywords related to programming and software development	numerical data and statistics related to incidents or events	words and phrases related to animals	references to individual songs or personal narratives related to music
mole,The mole is a mammal	specific references to parts of plants or botanical components	code elements related to programming and database queries	terms and phrases related to biochemical processes and treatments involving heavy metals or chemical interactions	technical terms and keywords related to programming and software development	specific medical terms and concepts related to gastrointestinal health and conditions
buffalo,The buffalo is a mammal	numerical data and statistics related to incidents or events	technical terms and keywords related to programming and software development	references to individual songs or personal narratives related to music	words and phrases related to animals	specific medical terms and concepts related to gastrointestinal health and conditions
gorilla,The gorilla is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	technical and scientific terminology related to parameters and analysis	references to individual songs or personal narratives related to music	specific medical terms and concepts related to gastrointestinal health and conditions
goat,The goat is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	references to individual songs or personal narratives related to music	technical terms and keywords related to programming and software development	references to geological features or elements in various contexts
vole,The vole is a mammal	specific references to parts of plants or botanical components	specific medical terms and concepts related to gastrointestinal health and conditions	code elements related to programming and database queries	numerical data and statistics related to incidents or events	terms related to the performance or description of artistic or cultural expressions
panda,The panda is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	specific medical terms and concepts related to gastrointestinal health and conditions	references to animal conservation and related activities	references to specific names and titles in a narrative context
jaguar,The jaguar is a mammal	numerical data and statistics related to incidents or events	elements related to academic citations and affiliations	terms related to the performance or description of artistic or cultural expressions	words and phrases related to animals	specific references to parts of plants or botanical components
fox,The fox is a mammal	words and phrases related to animals	technical terms and keywords related to programming and software development	numerical data and statistics related to incidents or events	specific references to parts of plants or botanical components	references to individual songs or personal narratives related to music
gnu,The gnu is a mammal	instances of the letter 'g' or words containing 'g'	code elements related to programming and database queries	numerical data and statistics related to incidents or events	words beginning with the letter 'g'	specific references to parts of plants or botanical components
ape,The ape is a mammal	specific references to parts of plants or botanical components	specific medical terms and concepts related to gastrointestinal health and conditions	numerical data and statistics related to incidents or events	code elements related to programming and database queries	words and phrases related to animals
tiger,The tiger is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	technical terms and keywords related to programming and software development	references to individual songs or personal narratives related to music	details related to film production and notable figures involved in movies
dog,The dog is a mammal	references to dogs and related topics	numerical data and statistics related to incidents or events	words and phrases related to animals	phrases related to dog training collars and their functionalities	references to individual songs or personal narratives related to music
pony,The pony is a mammal	specific references to parts of plants or botanical components	references to individual songs or personal narratives related to music	words and phrases related to animals	terms related to equine-assisted therapy and its benefits for veterans	structures related to events or programs
pig,The pig is a mammal	numerical data and statistics related to incidents or events	words and phrases related to animals	specific references to parts of plants or botanical components	technical terms and keywords related to programming and software development	words related to animals and their characteristics
koala,The koala is a mammal	numerical data and statistics related to incidents or events	specific medical terms and concepts related to gastrointestinal health and conditions	words and phrases related to animals	references to individual songs or personal narratives related to music	technical terms and keywords related to programming and software development
squirrel,The squirrel is a mammal	words and phrases related to animals	references to individual songs or personal narratives related to music	technical terms and keywords related to programming and software development	numerical data and statistics related to incidents or events	references to historical figures and events
topi,The topi is a mammal	words and phrases related to biological entities and structures	specific references to parts of plants or botanical components	specific medical terms and concepts related to gastrointestinal health and conditions	specific references to medical and clinical treatment settings or methodologies	phrases related to rankings and high quality
cat,The cat is a mammal	numerical data and statistics related to incidents or events	"terms related to the word ""cat"" or its variations"	specific references to parts of plants or botanical components	code elements related to programming and database queries	words and phrases related to animals
